epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.71804,1.37473,4.21683,1.43245,0.00181,0.41667,0.03563,0.01683,1.87083,4.04998,1.89827,0.00038583,0.00038583,0.00038583
2,10.368,1.40168,3.70266,1.44818,0.00158,0.33333,0.03534,0.02215,1.9461,3.98333,2.09791,0.000770388,0.000770388,0.000770388
3,13.0158,1.44087,3.48133,1.43272,0.68023,0.02778,0.00584,0.00176,2.28364,4.58245,2.66383,0.0011391,0.0011391,0.0011391
4,15.7967,1.5367,3.39346,1.53938,0.68244,0.13889,0.021,0.00754,2.13893,21.0758,2.50134,0.00134412,0.00134412,0.00134412
5,18.399,1.48033,3.27126,1.52848,0.34067,0.08333,0.00605,0.00202,2.19383,23.1576,2.75589,0.00131582,0.00131582,0.00131582
6,20.9874,1.50907,3.05782,1.53902,0.19929,0.39988,0.16289,0.083,2.24723,6.77956,2.54796,0.00128753,0.00128753,0.00128753
7,23.5459,1.55508,3.04623,1.56215,0.14557,0.38889,0.12224,0.05608,2.21537,7.1258,2.14261,0.00125923,0.00125923,0.00125923
8,26.1197,1.43739,2.85606,1.48674,0.03722,0.16667,0.03722,0.01362,2.22532,5.28807,2.25887,0.00123094,0.00123094,0.00123094
9,28.74,1.46537,2.81469,1.49406,0.12696,0.16667,0.12757,0.05416,2.23631,4.12841,2.16953,0.00120265,0.00120265,0.00120265
10,31.3681,1.40031,2.73978,1.44062,0.10858,0.32113,0.15238,0.06081,2.3531,3.26622,2.31372,0.00117435,0.00117435,0.00117435
11,33.9039,1.43662,2.63826,1.45729,0.37932,0.16667,0.17228,0.06264,2.24593,3.0798,2.12711,0.00114606,0.00114606,0.00114606
12,36.4517,1.31162,2.5025,1.40047,0.40771,0.05556,0.05195,0.02429,2.09114,3.75012,2.14733,0.00111776,0.00111776,0.00111776
13,38.9314,1.37997,2.5476,1.44902,0.14211,0.26129,0.122,0.05948,2.09357,3.28298,1.95134,0.00108947,0.00108947,0.00108947
14,41.6619,1.27797,2.3202,1.36554,0.82085,0.08333,0.07158,0.01648,2.13075,3.86834,2.26356,0.00106118,0.00106118,0.00106118
15,44.2503,1.35373,2.33904,1.42739,0.33454,0.30556,0.32513,0.1574,1.99476,2.63397,2.05591,0.00103288,0.00103288,0.00103288
16,46.8092,1.29234,2.15813,1.39132,0.67377,0.13889,0.16716,0.07274,2.13326,2.80385,2.09117,0.00100459,0.00100459,0.00100459
17,49.4149,1.26066,2.13973,1.36634,0.85403,0.05556,0.10373,0.04478,2.1188,2.96328,2.06964,0.000976293,0.000976293,0.000976293
18,52.0423,1.24597,2.07331,1.33119,0.58619,0.16667,0.16168,0.04845,2.18766,3.12618,2.15341,0.000947999,0.000947999,0.000947999
19,54.5529,1.24899,2.06301,1.36519,0.3676,0.38889,0.29054,0.09129,2.09154,2.52113,2.15546,0.000919704,0.000919704,0.000919704
20,57.2013,1.23023,2.08252,1.34904,0.2648,0.19444,0.26229,0.12765,1.98414,2.51194,1.98578,0.00089141,0.00089141,0.00089141
21,59.6967,1.19534,2.016,1.3069,0.606,0.19444,0.18982,0.07106,2.22234,2.94468,2.14176,0.000863116,0.000863116,0.000863116
22,62.2689,1.22604,2.03088,1.33768,0.18336,0.22222,0.15181,0.0715,2.04676,2.83669,2.03316,0.000834822,0.000834822,0.000834822
23,64.8908,1.15315,1.95479,1.31097,0.80604,0.05556,0.06477,0.02634,1.97262,3.2958,2.09326,0.000806528,0.000806528,0.000806528
